,BID,BVH,CTG,FPT,GAS,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PNJ,REE,SBT,SSI,STB,TCH,VCB,VIC,VNM,VN30
2022-03-23,43400.0,59000.0,32850.0,79492.3,109319.0,35419.4,48182.0,26791.7,121605.0,67064.0,83800.0,66250.9,77812.0,64051.0,21682.2,39273.1,34000.0,20470.6,84900.0,81400.0,73569.7,1505.59
2022-03-24,43100.0,58800.0,32550.0,79080.4,109319.0,35116.6,48273.0,26708.3,121274.0,66567.0,82800.0,68892.2,79218.0,68522.0,21822.4,38917.6,33650.0,20714.3,83500.0,81000.0,73086.4,1497.44
2022-03-25,43450.0,58500.0,32200.0,78833.3,107761.0,35116.6,48455.0,26500.0,121109.0,69001.0,83600.0,69112.3,80107.0,67920.0,22429.9,38606.7,33650.0,21347.9,82500.0,81000.0,72699.7,1498.36
2022-03-28,41600.0,58500.0,31800.0,80810.3,107566.0,34738.2,48091.0,26250.0,120447.0,71535.0,82500.0,68231.9,80107.0,68694.0,22429.9,37540.4,31850.0,20470.6,82400.0,80500.0,70959.5,1484.16
2022-03-29,42400.0,61400.0,32000.0,86411.9,108929.0,34700.4,48545.0,26666.7,119123.0,72777.0,82500.0,67498.2,81810.0,69210.0,23130.8,37895.8,32300.0,20860.5,81900.0,80800.0,72989.7,1500.57
2022-03-30,43550.0,61700.0,32050.0,87318.0,107177.0,34435.5,47818.0,27208.3,119123.0,71733.0,80000.0,66544.4,80181.0,69984.0,22476.6,37584.8,32250.0,19837.0,82000.0,81100.0,73666.4,1500.23
2022-03-31,43500.0,61500.0,32450.0,88141.7,105425.0,34132.8,48000.0,27458.3,117634.0,72429.0,80100.0,65664.0,81810.0,70242.0,22429.9,37318.3,31700.0,19690.8,82100.0,81200.0,78210.1,1508.53
2022-04-01,44350.0,63400.0,33050.0,91436.8,106788.0,34586.9,48727.0,27750.0,121191.0,77496.0,82600.0,68011.8,86770.0,72305.0,22710.3,38118.0,32200.0,20178.2,82800.0,82100.0,78983.5,1542.47
2022-04-04,44250.0,63600.0,32850.0,90036.4,109416.0,34700.4,48000.0,27500.0,124087.0,76999.0,86500.0,68158.5,86326.0,70929.0,22663.5,39983.9,32200.0,20080.7,82600.0,82700.0,79466.9,1548.04
2022-04-05,43300.0,63800.0,32350.0,89789.3,111265.0,34889.6,47273.0,27208.3,125410.0,77098.0,87700.0,68231.9,87214.0,70500.0,22429.9,39361.9,31800.0,19837.0,83000.0,82300.0,77726.8,1539.2
